"","ContractRef","InterestType","MortgageType","NewLoan","ProbationaryLoans","DefaultedLoans","LTVCategory","CreditRating","MortgageYears","CreditRatingMovement","LTV","LoanBalance","InterestIncome","PropertyValue","AnnualPYMT","AddressLatitude","AddressLongitude","InArrears","County","ArrearsCategory","Town","Branch","MaturityDate","BookingDate","LastValuationDate","ValuationAgeYears","prediction","lr_score","DT_score.No","DT_score.Yes"
"644","00000CONTR00090920","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,34, 1,0.75000000, 1.538211e+00,  979.082019, 1.655198e+00, 1.3341203257,54.47600, -8.305457,"No","Donegal","0","Bundoran","Branch 163","30/07/2049","08/08/2015","08/08/2015",1.93,0.8555796,0.8555796,0.04722274,0.95277726
"645","00000CONTR00117654","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,28, 1,0.76602272,-6.141821e-01, 2213.133313,-9.856291e-01,-0.8230219841,54.47283, -8.323819,"No","Leitrim","0","Tullaghan","Branch 157","18/11/2037","25/11/2009","12/10/2014",3.06,0.7984702,0.7984702,0.35536398,0.64463602
"646","00000CONTR00118706","Variable","Owner Occupied","No","No","Yes","30 to 40%",2,29, 0,0.31772704,-1.306677e+00, 1301.917191,-1.152698e+00,-1.0509020605,53.36528, -6.181993,"No","Dublin","0","Clontarf East","Branch 191","17/06/2026","24/06/1997","11/04/2015",2.38,0.8151633,0.8151633,0.04722274,0.95277726
"647","00000CONTR00163525","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,29, 0,0.77000000,-8.555564e-01,   63.710841,-1.277733e+00,-1.1846235007,53.40537, -6.292404,"Yes","Dublin","1 to 2 years","Poppintree","Branch 32","07/09/2044","15/09/2015","27/09/2015",1.74,0.8716496,0.8716496,0.04722274,0.95277726
"648","00000CONTR00034224","Tracker","Owner Occupied","No","No","Yes","90 to 100%",3,31, 0,0.90611044, 1.109147e+00, 1486.219056, 5.470839e-01, 0.5723269683,53.44068, -6.148581,"No","Dublin","0","Malahide","Branch 55","12/04/2044","20/04/2013","09/07/2013",4.80,0.7426801,0.7426801,0.43593750,0.56406250
"649","00000CONTR00072158","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,32, 0,0.94141345, 2.356218e-01, 1608.698741,-4.036397e-01,-0.4373186606,53.48860,-10.024740,"No","Galway","0","Clifden","Branch 182","29/09/2043","07/10/2011","25/08/2014",3.24,0.8834560,0.8834560,0.04722274,0.95277726
"650","00000CONTR00048841","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,33, 0,0.61000000, 9.123021e-01,    0.000000, 1.622595e+00, 1.4120869457,53.35618, -6.244512,"No","Dublin","0","North Dock","Branch 31","24/02/2038","04/03/2005","12/09/2015",1.80,0.7601577,0.7601577,0.43593750,0.56406250
"651","00000CONTR00070892","Fixed","Owner Occupied","No","No","Yes","40 to 50%",2,30, 0,0.41186838,-8.905141e-01, 2503.735332,-4.888639e-01,-0.4045833489,51.82801, -8.351946,"No","Cork","0","Raheens","Branch 155","26/11/2026","03/12/1996","08/04/2013",5.14,0.8465313,0.8465313,0.04722274,0.95277726
"652","00000CONTR00073938","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,33, 0,0.75000000, 1.088339e+00, 2528.917483, 1.108991e+00, 0.9293818138,53.16557, -7.217622,"No","Offaly","0","Portarlington","Branch 141","16/02/2048","24/02/2015","02/11/2016",0.22,0.8477109,0.8477109,0.04722274,0.95277726
"653","00000CONTR00215025","Tracker","Owner Occupied","No","No","Yes","90 to 100%",3,34, 0,0.92964578,-7.548451e-01, 1925.867929,-1.350146e+00,-1.4073438650,53.25144, -6.123003,"No","Dublin","0","Killiney","Branch 10","31/03/2048","09/04/2014","09/04/2014",3.76,0.8583401,0.8583401,0.43593750,0.56406250
"654","00000CONTR00086197","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,33, 0,0.79000000, 1.061288e+00, 2295.667812, 9.065272e-01, 0.7390986931,53.24845, -6.123579,"No","Dublin","0","Hackettsland","Branch 3","03/03/2042","11/03/2009","04/06/2016",0.79,0.8140852,0.8140852,0.04722274,0.95277726
"655","00000CONTR00234577","Variable","Owner Occupied","No","No","Yes","0 to 10%",4,30, 0,0.03530300,-1.619631e+00,   35.506832,-2.557721e-01,-0.1636078601,53.38741, -6.235125,"No","Dublin","0","Dublin","Branch 48","17/06/2015","24/06/1985","15/05/2016",0.87,0.6884929,0.6884929,0.63734568,0.36265432
"656","00000CONTR00236420","Variable","Owner Occupied","No","No","Yes","60 to 70%",4,29, 3,0.66000000, 1.131204e+00, 9415.354320, 1.629429e+00, 1.9245036992,53.60306, -6.167736,"No","Dublin","0","Balbriggan","Branch 5","03/04/2037","10/04/2008","28/06/2016",0.70,0.6495604,0.6495604,0.63734568,0.36265432
"657","00000CONTR00167317","Variable","Owner Occupied","No","No","Yes","70 to 80%",4,32, 0,0.74000000, 1.174068e+00, 7385.735930, 1.260199e+00, 1.1752882895,53.27761, -6.445173,"No","Dublin","0","Saggart","Branch 83","15/08/2047","23/08/2015","23/08/2015",1.87,0.6715196,0.6715196,0.63734568,0.36265432
"658","00000CONTR00027985","Variable","Owner Occupied","No","No","Yes","20 to 30%",3,35, 0,0.23313735,-1.302515e+00,  687.787491,-7.296516e-01,-0.8815770021,53.27777, -6.445528,"No","Dublin","0","Saggart","Branch 62","10/08/2037","19/08/2002","08/12/2015",1.47,0.7568163,0.7568163,0.38771930,0.61228070
"659","00000CONTR00103853","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,29, 0,0.72000000, 1.109147e+00,  212.317008, 1.276259e+00, 1.5467991045,53.72222, -6.386255,"No","Louth","0","Drogheda","Branch 255","11/01/2035","18/01/2006","05/01/2015",2.74,0.8121441,0.8121441,0.04722274,0.95277726
"660","00000CONTR00194852","Tracker","Buy to Let","No","No","Yes","30 to 40%",3,29, 0,0.35000000,-8.501463e-01,    0.000000,-6.831058e-02, 0.1088197331,53.33571, -9.181305,"No","Galway","0","Ballycuirke West","Branch 241","06/05/2031","13/05/2002","23/02/2016",1.18,0.8935909,0.8935909,0.38771930,0.61228070
"661","00000CONTR00002716","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,30, 0,0.72000000, 8.856677e-01,  586.240468, 9.936186e-01, 1.1280404780,53.91885, -7.875552,"No","Leitrim","0","Mohill","Branch 72","28/09/2041","06/10/2011","23/03/2016",1.07,0.7491444,0.7491444,0.35536398,0.64463602
"662","00000CONTR00200246","Tracker","Owner Occupied","No","No","Yes","0 to 10%",3,28,-1,0.03530300,-1.575518e+00,  138.816606, 8.820835e-01, 1.2457816764,52.16005, -7.157534,"No","Waterford","0","Tramore","Branch 88","14/04/2019","21/04/1991","25/01/2015",2.66,0.8498225,0.8498225,0.38771930,0.61228070
"663","00000CONTR00007738","Fixed","Owner Occupied","No","No","Yes","70 to 80%",2,29, 0,0.72000000, 6.742571e-01, 8074.027064, 7.262415e-01, 0.9585706370,53.96026, -6.376314,"No","Louth","0","Haggardstown","Branch 45","15/02/2042","22/02/2013","15/05/2016",0.87,0.8072652,0.8072652,0.04722274,0.95277726
"664","00000CONTR00208173","Variable","Owner Occupied","No","No","Yes","70 to 80%",4,35, 0,0.74937005,-6.890914e-01, 1449.736415,-1.048029e+00,-1.1637015498,51.92734, -8.398628,"Yes","Cork","< 90 days","Glanmire","Branch 209","15/08/2050","24/08/2015","24/08/2015",1.87,0.7614788,0.7614788,0.45381526,0.54618474
"665","00000CONTR00078949","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,34, 1,0.91787811, 1.166161e+00,10831.472560, 5.674805e-01, 0.3419083855,51.92729, -8.398449,"No","Cork","0","Glanmire","Branch 122","25/02/2042","05/03/2008","17/04/2014",3.73,0.8328558,0.8328558,0.04722274,0.95277726
"666","00000CONTR00163235","Variable","Buy to Let","No","No","Yes","60 to 70%",4,33, 0,0.64000000, 6.792510e-01, 1977.806115, 1.108359e+00, 0.9287882126,52.29604, -6.772441,"Yes","Wexford","< 6 months","Foulkesmill","Branch 6","01/10/2039","09/10/2006","13/01/2016",1.33,0.8363637,0.8363637,0.64338235,0.35661765
"667","00000CONTR00062027","Tracker","Owner Occupied","No","No","Yes","10 to 20%",3,31, 0,0.19316769,-1.218450e+00,  181.311485,-1.384260e-02, 0.0111349215,53.32470, -8.235821,"No","Galway","0","Ballinasloe","Branch 33","18/07/2017","26/07/1986","06/12/2015",1.48,0.8033977,0.8033977,0.70270270,0.29729730
"668","00000CONTR00186163","Fixed","Buy to Let","No","No","Yes","20 to 30%",2,31, 0,0.28242403,-9.321303e-01, 2895.947329, 1.950763e-01, 0.2201527655,52.49962, -6.768659,"No","Wexford","0","Rathnure Upper","Branch 224","28/04/2032","06/05/2001","16/09/2014",3.16,0.9233320,0.9233320,0.04722274,0.95277726
"669","00000CONTR00074879","Fixed","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.64000000,-8.555564e-01, 3185.542062,-1.075396e+00,-1.0109533677,53.52950, -7.347236,"No","Westmeath","0","Mullingar","Branch 200","08/10/2035","15/10/2005","22/08/2016",0.49,0.8196288,0.8196288,0.30973451,0.69026549
"670","00000CONTR00147620","Variable","Buy to Let","No","No","Yes","10 to 20%",4,31, 3,0.11767668,-1.543057e+00,  363.000702,-1.075887e+00,-1.0514122927,53.37850, -6.205297,"No","Dublin","0","Clontarf","Branch 56","03/03/2021","11/03/1990","01/09/2014",3.22,0.7656451,0.7656451,0.63734568,0.36265432
"671","00000CONTR00172198","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.90611044, 1.515738e+00, 8507.474833, 9.556915e-01, 0.7853051891,53.37904, -6.205011,"No","Dublin","0","Clontarf","Branch 223","07/11/2045","15/11/2012","20/07/2013",4.75,0.7954408,0.7954408,0.04722274,0.95277726
"672","00000CONTR00229483","Fixed","Buy to Let","No","No","Yes","30 to 40%",3,32,-2,0.36479771,-1.193480e+00, 2098.302706,-1.014804e+00,-1.0296646638,53.37863, -6.205285,"No","Dublin","0","Clontarf","Branch 197","30/12/2034","07/01/2003","12/04/2016",0.99,0.8512470,0.8512470,0.38771930,0.61228070
"673","00000CONTR00085986","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,35, 0,0.90611044, 1.058791e+00, 3127.623115, 4.964784e-01, 0.2049380427,53.15418, -7.178008,"No","Laois","0","Portarlington","Branch 173","03/07/2049","12/07/2014","12/07/2014",3.41,0.7806776,0.7806776,0.04722274,0.95277726
"674","00000CONTR00108497","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,33,-2,0.62000000, 2.189753e-01, 4639.559443, 5.414477e-01, 0.3959829188,53.15719, -6.078363,"Yes","Wicklow","< 90 days","Greystones","Branch 127","08/07/2040","17/07/2007","06/05/2015",2.28,0.8304118,0.8304118,0.04722274,0.95277726
"675","00000CONTR00222719","Tracker","Owner Occupied","No","No","Yes","10 to 20%",3,34, 1,0.13322134,-1.536398e+00,  427.467008,-1.170156e+00,-1.2431574611,53.35419, -6.406620,"No","Dublin","0","Lucan","Branch 36","09/04/2021","18/04/1987","21/08/2014",3.26,0.7041817,0.7041817,0.30973451,0.69026549
"676","00000CONTR00218375","Fixed","Owner Occupied","No","No","Yes","60 to 70%",3,30, 0,0.67000000, 2.580946e-01, 7841.092170, 3.845179e-01, 0.4983384661,53.35525, -6.406404,"No","Dublin","0","Lucan","Branch 85","24/05/2037","01/06/2007","13/07/2016",0.65,0.7678653,0.7678653,0.42574257,0.57425743
"677","00000CONTR00218548","Tracker","Owner Occupied","Yes","No","Yes","70 to 80%",3,30, 0,0.72000000, 6.333049e-02,    0.000000,-4.641513e-02, 0.0528301397,53.35439, -6.406498,"No","Dublin","0","Lucan","Branch 110","30/01/2046","07/02/2016","07/02/2016",1.24,0.7004711,0.7004711,0.32394366,0.67605634
"678","00000CONTR00218629","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,29,-2,0.69000000, 2.385349e-01, 5565.695990, 2.816504e-01, 0.4830930974,53.35502, -6.405915,"No","Dublin","0","Lucan","Branch 223","28/11/2034","05/12/2005","03/10/2014",3.09,0.7778554,0.7778554,0.42574257,0.57425743
"679","00000CONTR00219680","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,32, 0,0.61000000, 1.570671e+00, 4450.063759, 2.605405e+00, 2.4790736323,53.35413, -6.407104,"Yes","Dublin","< 90 days","Lucan","Branch 30","19/10/2040","27/10/2008","18/07/2015",2.01,0.7341235,0.7341235,0.36585366,0.63414634
"680","00000CONTR00220496","Fixed","Owner Occupied","No","No","Yes","60 to 70%",4,29, 0,0.66000000,-8.665631e-03, 6899.468601, 5.674611e-02, 0.2425643110,53.35411, -6.407505,"No","Dublin","0","Lucan","Branch 25","05/12/2035","12/12/2006","08/05/2015",2.28,0.7023414,0.7023414,0.63734568,0.36265432
"681","00000CONTR00201224","Tracker","Owner Occupied","No","No","Yes","30 to 40%",4,31, 1,0.35303004,-1.073626e+00,  188.866130,-6.636827e-01,-0.6390128146,53.35514, -6.406644,"No","Dublin","0","Lucan","Branch 24","12/09/2031","19/09/2000","26/01/2014",4.04,0.6920735,0.6920735,0.63734568,0.36265432
"682","00000CONTR00161359","Tracker","Buy to Let","Yes","No","Yes","> 100%",4,32, 2,1.01581274,-1.118739e-01, 2759.113818,-8.521220e-01,-0.8719916142,53.28854, -6.284901,"Yes","Dublin","< 6 months","Rathfarnham","Branch 10","13/02/2048","21/02/2016","21/02/2016",1.18,0.8108901,0.8108901,0.63734568,0.36265432
"683","00000CONTR00152089","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,31, 0,0.74000000, 2.385349e-01, 2050.519575, 1.089811e-01, 0.1340167580,53.45685, -7.101827,"No","Westmeath","0","Kinnegad","Branch 200","03/12/2046","11/12/2015","11/12/2015",1.46,0.8589572,0.8589572,0.04722274,0.95277726
"684","00000CONTR00238610","Tracker","Owner Occupied","No","No","Yes","90 to 100%",3,30, 0,0.94141345, 4.765799e-01, 5592.011337,-1.705671e-01,-0.0755210140,53.34889, -6.442585,"No","Dublin","0","Lucan","Branch 252","11/04/2036","19/04/2006","17/09/2015",1.78,0.7981963,0.7981963,0.42574257,0.57425743
"685","00000CONTR00184866","Tracker","Owner Occupied","No","No","Yes","60 to 70%",4,28, 3,0.66000000,-3.107996e-01,  944.236218,-3.601095e-01,-0.1301546155,53.64952, -6.685238,"No","Meath","0","Navan","Branch 80","28/11/2033","05/12/2005","05/12/2015",1.48,0.7469421,0.7469421,0.64338235,0.35661765
"686","00000CONTR00189825","Tracker","Owner Occupied","No","No","Yes","70 to 80%",4,28,-1,0.74000000, 4.377085e-02,  131.734126,-1.306853e-01, 0.1239710363,51.91203, -8.472623,"No","Cork","0","Blackpool","Branch 250","20/02/2040","27/02/2012","27/03/2015",2.43,0.7392899,0.7392899,0.45381526,0.54618474
"687","00000CONTR00120011","Tracker","Owner Occupied","No","No","Yes","10 to 20%",3,34, 0,0.16474735,-1.424034e+00,  745.643482,-7.602931e-01,-0.8692818247,51.91204, -8.472709,"No","Cork","0","Blackpool","Branch 122","14/05/2020","23/05/1986","06/03/2013",5.27,0.7578536,0.7578536,0.35536398,0.64463602
"688","00000CONTR00210139","Variable","Buy to Let","No","No","Yes","30 to 40%",4,28, 0,0.37656538,-8.738676e-01, 2617.684564,-2.812666e-01,-0.0428228598,53.34117, -7.057616,"No","Offaly","0","Edenderry","Branch 66","26/08/2025","02/09/1997","07/01/2014",4.11,0.8533992,0.8533992,0.45381526,0.54618474
"689","00000CONTR00184446","Tracker","Owner Occupied","No","No","Yes","90 to 100%",4,28, 0,0.92964578, 8.122548e-02, 3902.446414,-5.312001e-01,-0.3196659788,53.36168, -6.247653,"No","Dublin","0","Ballybough","Branch 31","13/08/2036","20/08/2008","19/12/2016",0.05,0.7521979,0.7521979,0.63734568,0.36265432
"690","00000CONTR00050246","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,32, 0,0.91787811, 4.012545e-01, 5557.071103,-1.913652e-01,-0.2315803872,53.33292, -6.291252,"Yes","Dublin","< 90 days","Merchants Quay","Branch 27","20/02/2039","28/02/2007","04/02/2016",1.25,0.8465799,0.8465799,0.04722274,0.95277726
"691","00000CONTR00029098","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,31, 0,0.66000000,-4.061009e-01,  683.947213,-4.915970e-01,-0.4668457084,54.26970, -8.468735,"No","Sligo","0","Abbeyquarter","Branch 114","05/05/2037","13/05/2006","03/05/2013",5.05,0.7873266,0.7873266,0.63111111,0.36888889
"692","00000CONTR00230386","Tracker","Buy to Let","No","No","Yes","90 to 100%",3,28, 0,0.90611044, 5.860306e-01, 2245.744198, 2.137281e-02, 0.2924007802,53.11440, -9.149118,"No","Clare","0","Ballyvaughan","Branch 199","05/06/2036","12/06/2008","05/02/2015",2.62,0.8885537,0.8885537,0.35536398,0.64463602
"693","00000CONTR00227096","Variable","Buy to Let","No","No","Yes","30 to 40%",4,34, 0,0.33038437,-1.319578e+00,  543.651156,-1.231209e+00,-1.2988492959,53.17308, -6.530266,"Yes","Wicklow","< 90 days","Blessington","Branch 190","10/03/2036","19/03/2002","20/03/2015",2.46,0.7939779,0.7939779,0.63734568,0.36265432
"694","00000CONTR00202569","Variable","Buy to Let","No","No","Yes","60 to 70%",3,34, 0,0.65000000, 4.994688e-01, 1329.617556, 8.044627e-01, 0.5580826795,53.33594, -6.273880,"No","Dublin","0","Merchants Quay","Branch 48","25/10/2040","03/11/2006","15/04/2015",2.36,0.8684131,0.8684131,0.31521739,0.68478261
"695","00000CONTR00180203","Tracker","Buy to Let","No","No","Yes","70 to 80%",4,29, 0,0.70000000, 1.030076e+00, 2476.034966, 1.274831e+00, 1.5452712382,53.33014, -6.269007,"No","Dublin","0","Wood Quay","Branch 1","24/04/2043","01/05/2014","20/04/2016",0.96,0.7943158,0.7943158,0.63734568,0.36265432
"696","00000CONTR00117546","Variable","Owner Occupied","No","No","Yes","10 to 20%",3,29, 0,0.12944435,-1.388244e+00,  210.774601,-9.573069e-02, 0.0794947017,52.97867, -6.044857,"No","Wicklow","0","Wicklow","Branch 89","31/10/2017","07/11/1988","27/09/2014",3.12,0.7948211,0.7948211,0.84615385,0.15384615
"697","00000CONTR00202398","Tracker","Owner Occupied","No","No","Yes","70 to 80%",3,33, 1,0.74000000, 4.695051e-01, 3770.523422, 3.932008e-01, 0.2566547416,52.26114, -7.117339,"No","Waterford","0","Waterford","Branch 258","19/04/2044","28/04/2011","08/11/2013",4.34,0.7794688,0.7794688,0.37391304,0.62608696
"698","00000CONTR00080022","Tracker","Owner Occupied","No","No","Yes","10 to 20%",3,32,-1,0.15297969,-1.502273e+00,  236.712217,-1.109577e+00,-1.1215189646,53.39650, -6.304301,"No","Dublin","0","Finglas North","Branch 1","27/07/2018","04/08/1986","25/02/2013",5.30,0.7109996,0.7109996,0.30973451,0.69026549
"699","00000CONTR00021169","Variable","Owner Occupied","Yes","No","Yes","90 to 100%",3,34, 0,0.94558911,-7.233850e-02, 5532.833283,-7.084651e-01,-0.8220045208,53.33691, -6.287879,"No","Dublin","0","Ushers","Branch 101","12/12/2050","20/12/2016","20/12/2016",0.04,0.7564052,0.7564052,0.42574257,0.57425743
"700","00000CONTR00066633","Tracker","Buy to Let","No","Yes","Yes","70 to 80%",4,31, 1,0.79000000, 1.131204e+00, 1283.911953, 9.871161e-01, 1.0125674773,52.49371, -9.148682,"No","Limerick","0","Athea","Branch 115","08/01/2039","16/01/2008","14/06/2013",4.89,0.4832505,0.4832505,0.63734568,0.36265432
"701","00000CONTR00089038","Fixed","Owner Occupied","Yes","No","Yes","70 to 80%",3,33,-2,0.72000000, 7.216996e-01, 8967.552726, 7.862435e-01, 0.6260514042,55.02155, -8.315385,"No","Donegal","0","Illannavoree","Branch 135","17/04/2049","25/04/2016","25/04/2016",0.94,0.7109455,0.7109455,0.35536398,0.64463602
"702","00000CONTR00228272","Tracker","Owner Occupied","No","No","Yes","70 to 80%",4,35, 3,0.79000000, 1.315980e+00, 5699.035477, 1.200101e+00, 0.8284416355,53.72210, -6.253960,"No","Meath","0","Mornington","Branch 129","08/05/2050","17/05/2015","17/05/2015",2.24,0.6682137,0.6682137,0.65346535,0.34653465
"703","00000CONTR00222528","Tracker","Owner Occupied","No","No","Yes","10 to 20%",4,29, 0,0.16474735,-1.384915e+00,  331.397103,-5.440698e-01,-0.3999912570,52.47564, -8.151739,"No","Tipperary","0","Tipperary","Branch 203","17/04/2017","24/04/1988","09/12/2013",4.22,0.7313093,0.7313093,0.45381526,0.54618474
"704","00000CONTR00223009","Variable","Owner Occupied","No","No","Yes","20 to 30%",4,34, 3,0.26377370,-1.298353e+00, 1420.273299,-8.946384e-01,-0.9918311614,53.32835, -8.221399,"No","Galway","0","Ballinasloe","Branch 241","17/09/2031","25/09/1997","23/07/2014",3.37,0.6965011,0.6965011,0.63734568,0.36265432
"705","00000CONTR00047177","Tracker","Buy to Let","No","Yes","Yes","30 to 40%",4,28, 3,0.35000000,-8.280897e-01, 1249.979005,-1.092526e-02, 0.2566252745,53.37096, -6.264157,"Yes","Dublin","< 90 days","Drumcondra","Branch 15","13/08/2030","20/08/2002","13/10/2015",1.68,0.5122459,0.5122459,0.63734568,0.36265432
"706","00000CONTR00131688","Variable","Buy to Let","No","No","Yes","60 to 70%",2,30,-3,0.65000000, 3.396624e-01, 4623.442866, 5.805850e-01, 0.7010369827,53.37312, -6.266413,"No","Dublin","0","Botanic","Branch 60","14/03/2035","21/03/2005","01/01/2013",5.51,0.9073763,0.9073763,0.04722274,0.95277726
"707","00000CONTR00015811","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,30, 0,0.90611044, 6.243176e-01, 7377.111044, 5.984967e-02, 0.1626890934,52.08975, -7.632273,"No","Waterford","0","Dungarvan","Branch 229","05/09/2045","13/09/2015","13/03/2016",1.11,0.8605845,0.8605845,0.04722274,0.95277726
"708","00000CONTR00045196","Variable","Owner Occupied","No","No","Yes","90 to 100%",2,32,-1,0.95318112,-7.119803e-01,  969.418368,-1.332004e+00,-1.3370972780,53.33317, -6.274544,"No","Dublin","0","Wood Quay","Branch 10","30/12/2042","07/01/2011","15/10/2014",3.05,0.9024877,0.9024877,0.04722274,0.95277726
"709","00000CONTR00063920","Tracker","Owner Occupied","No","No","Yes","90 to 100%",2,33, 0,0.90404067,-3.948645e-01, 1576.906276,-9.613897e-01,-1.0164418947,52.43661, -8.409507,"No","Limerick","0","Limerick","Branch 145","25/03/2048","03/04/2015","19/11/2015",1.54,0.8829698,0.8829698,0.04722274,0.95277726
"710","00000CONTR00165248","Variable","Owner Occupied","No","No","Yes","70 to 80%",2,35,-3,0.74000000, 1.202367e+00, 5045.464234, 1.295022e+00, 0.9125546988,52.14239, -9.712750,"No","Kerry","0","Ballyoughtragh North","Branch 152","13/07/2048","22/07/2013","22/07/2013",4.75,0.8468868,0.8468868,0.04722274,0.95277726
"711","00000CONTR00060246","Tracker","Owner Occupied","No","No","Yes","60 to 70%",2,31, 0,0.69000000,-1.281043e-01, 3205.813693,-2.022097e-01,-0.1773213221,55.06612, -8.303129,"No","Donegal","0","Magheraclogher","Branch 168","27/06/2038","05/07/2007","13/10/2013",4.43,0.8745652,0.8745652,0.04722274,0.95277726
"712","00000CONTR00114422","Tracker","Owner Occupied","No","No","Yes","20 to 30%",2,30, 0,0.20005036,-1.491869e+00,  560.932407,-1.336167e+00,-1.2805441718,53.98907, -7.383187,"No","Cavan","0","Swellan Lower","Branch 194","02/01/2026","10/01/1996","08/10/2016",0.32,0.8332238,0.8332238,0.04722274,0.95277726
"713","00000CONTR00135022","Tracker","Owner Occupied","No","No","Yes","70 to 80%",2,29, 0,0.72716315,-8.414069e-01, 2202.556810,-1.201333e+00,-1.1029156979,53.94546, -8.952331,"No","Mayo","0","Mayo","Branch 109","29/10/2037","05/11/2008","10/06/2016",0.77,0.8981813,0.8981813,0.04722274,0.95277726
"714","00000CONTR00021058","Tracker","Owner Occupied","No","Yes","Yes","70 to 80%",5,28, 3,0.72000000, 1.018840e+00, 4931.672391, 1.162045e+00, 1.5558858874,53.72768, -6.329327,"No","Louth","0","Drogheda","Branch 45","26/07/2037","02/08/2009","05/11/2015",1.59,0.2435951,0.2435951,0.06707065,0.93292935
"715","00000CONTR00206676","Tracker","Buy to Let","No","No","Yes","90 to 100%",3,31, 0,0.94558911,-4.909980e-01,  730.282370,-1.111635e+00,-1.0871775657,51.84956, -8.334114,"No","Cork","0","Monkstown","Branch 259","20/08/2038","28/08/2007","17/08/2016",0.51,0.9251060,0.9251060,0.35536398,0.64463602
"716","00000CONTR00148123","Variable","Buy to Let","No","No","Yes","70 to 80%",2,35, 0,0.70000000, 2.597592e-01,  888.426276, 2.727531e-01, 0.0066875100,51.88955, -8.419557,"No","Cork","0","Blackrock","Branch 245","30/08/2045","08/09/2010","14/08/2015",1.91,0.9189126,0.9189126,0.04722274,0.95277726
"717","00000CONTR00089798","Tracker","Buy to Let","No","No","Yes","60 to 70%",3,32, 0,0.63000000, 7.491664e-01, 6478.108264, 1.263101e+00, 1.1781008781,53.50279, -6.398622,"Yes","Meath","< 90 days","Ashbourne","Branch 107","16/04/2038","24/04/2006","22/09/2013",4.51,0.8721116,0.8721116,0.56441718,0.43558282
"718","00000CONTR00199906","Tracker","Buy to Let","No","No","Yes","70 to 80%",4,30, 3,0.74000000, 3.363331e-01, 5692.928806, 2.293264e-01, 0.3378979427,53.29721, -6.170324,"No","Dublin","0","Monkstown","Branch 37","16/02/2041","24/02/2011","28/06/2015",2.08,0.8232446,0.8232446,0.63734568,0.36265432
"719","00000CONTR00106131","Variable","Owner Occupied","No","No","Yes","70 to 80%",3,29, 0,0.73000000, 1.188634e+00,10698.133080, 1.326780e+00, 1.6008296068,53.35476, -6.257633,"No","Dublin","0","Dublin","Branch 23","07/10/2037","14/10/2008","18/02/2013",5.33,0.7402055,0.7402055,0.31521739,0.68478261
"720","00000CONTR00196312","Tracker","Owner Occupied","No","No","Yes","60 to 70%",3,32, 0,0.65000000, 1.174068e+00, 8254.646040, 1.749530e+00, 1.6495518144,53.57761, -6.108183,"No","Dublin","0","Skerries","Branch 48","25/11/2040","03/12/2008","27/10/2014",3.00,0.7321623,0.7321623,0.43593750,0.56406250
"721","00000CONTR00106931","Tracker","Buy to Let","No","No","Yes","70 to 80%",2,34, 0,0.77000000,-1.638943e-01, 1624.374630,-4.597710e-01,-0.5951466810,51.92472, -8.400522,"No","Cork","0","Poulacurry South","Branch 254","22/02/2047","02/03/2013","11/06/2014",3.52,0.9269470,0.9269470,0.04722274,0.95277726
"722","00000CONTR00111710","Fixed","Owner Occupied","No","No","Yes","90 to 100%",2,32, 0,0.94141345, 1.538627e+00,12484.901100, 8.567233e-01, 0.7842360810,51.92375, -8.400135,"No","Cork","0","Glanmire","Branch 95","04/12/2038","12/12/2006","18/04/2013",5.11,0.8041910,0.8041910,0.04722274,0.95277726
"723","00000CONTR00049294","Tracker","Owner Occupied","No","No","Yes","0 to 10%",2,32, 0,0.08237368,-1.541392e+00,  295.890271,-5.440698e-01,-0.5734247275,51.92383, -8.399907,"No","Cork","0","Glanmire","Branch 103","13/11/2019","21/11/1987","17/07/2013",4.77,0.8253558,0.8253558,0.04722274,0.95277726
"724","00000CONTR00189266","Fixed","Buy to Let","No","No","Yes","20 to 30%",5,30, 4,0.24712103,-8.326675e-01, 2683.126678, 9.142870e-01, 1.0460256790,53.39558, -6.438305,"No","Dublin","0","Hansfield","Branch 212","16/07/2033","24/07/2003","19/03/2014",3.84,0.7934534,0.7934534,0.06707065,0.93292935
